               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.037226,            0.043287,           0.0050733,             0.84439,             0.88013,             0.93737,             0.60039,            0.028582,            0.038872,            0.010678,           0.0097011,           0.0097011,           0.0097011
                  37,            0.037653,            0.043602,           0.0048125,             0.88595,              0.8319,             0.93434,             0.58999,            0.030051,            0.037574,            0.010556,            0.009684,            0.009684,            0.009684
                  38,            0.035792,            0.041926,           0.0044421,             0.83043,             0.92025,               0.925,             0.59282,            0.028137,            0.035795,            0.012478,           0.0096664,           0.0096664,           0.0096664
                  39,            0.035125,            0.041146,           0.0046671,             0.81964,             0.92289,             0.91789,             0.55901,            0.028167,            0.036663,            0.016523,           0.0096484,           0.0096484,           0.0096484
                  40,            0.034074,            0.042334,           0.0049492,             0.84182,             0.94277,             0.94784,             0.61848,            0.026486,            0.034763,           0.0095678,           0.0096299,           0.0096299,           0.0096299
                  41,             0.03501,            0.041799,           0.0041847,             0.94095,             0.81765,              0.9414,              0.5939,            0.027256,            0.036634,           0.0099745,            0.009611,            0.009611,            0.009611
                  42,            0.035986,            0.041338,           0.0049124,             0.85405,             0.95534,             0.93296,             0.61765,            0.026868,            0.034097,           0.0099682,           0.0095916,           0.0095916,           0.0095916
                  43,            0.033114,            0.040332,           0.0043047,             0.82775,             0.95173,             0.95222,             0.61522,            0.029285,             0.03425,           0.0079017,           0.0095717,           0.0095717,           0.0095717
                  44,            0.033797,            0.040141,           0.0040504,             0.85135,             0.88017,             0.94426,             0.60521,            0.028522,            0.034982,            0.010349,           0.0095514,           0.0095514,           0.0095514
                  45,            0.033339,            0.040597,            0.004139,             0.90487,             0.87286,              0.9471,             0.62226,            0.028611,            0.035702,           0.0089756,           0.0095307,           0.0095307,           0.0095307
                  46,            0.032269,            0.038962,           0.0039057,              0.8822,              0.8724,             0.94658,             0.61927,            0.026515,            0.036478,            0.010342,           0.0095095,           0.0095095,           0.0095095
                  47,             0.03331,            0.038923,           0.0041374,             0.87521,             0.86042,             0.94034,             0.63997,            0.024667,            0.034506,            0.011556,           0.0094879,           0.0094879,           0.0094879
                  48,            0.032312,            0.039661,           0.0043313,             0.83442,             0.95689,             0.93897,              0.6161,            0.026992,            0.035426,           0.0099153,           0.0094659,           0.0094659,           0.0094659
                  49,            0.033924,            0.040186,           0.0043412,             0.86248,              0.8703,             0.93898,              0.6059,             0.02673,            0.035616,            0.011115,           0.0094434,           0.0094434,           0.0094434
                  50,            0.033408,             0.03963,           0.0044151,             0.86149,             0.94653,             0.93461,             0.61884,            0.025079,            0.034406,            0.012306,           0.0094205,           0.0094205,           0.0094205
                  51,            0.032235,            0.038343,            0.003865,             0.84688,             0.95803,             0.93488,             0.61573,            0.027143,            0.033903,           0.0086004,           0.0093971,           0.0093971,           0.0093971
                  52,             0.03154,            0.038702,           0.0037097,             0.88837,             0.88496,             0.94186,             0.63299,            0.023371,            0.033807,           0.0094362,           0.0093733,           0.0093733,           0.0093733
                  53,             0.03148,            0.038662,           0.0039738,             0.84539,             0.94045,             0.93721,             0.60906,            0.026065,            0.034236,            0.011123,           0.0093491,           0.0093491,           0.0093491
                  54,            0.030031,            0.037728,           0.0036781,             0.89077,             0.87275,              0.9389,             0.64254,             0.02613,            0.032656,            0.010418,           0.0093245,           0.0093245,           0.0093245
                  55,            0.031637,            0.038703,           0.0042271,             0.87257,             0.94339,             0.93643,             0.63018,            0.025542,            0.032588,            0.011006,           0.0092995,           0.0092995,           0.0092995
                  56,             0.03078,            0.038378,           0.0040003,             0.89359,             0.87385,             0.93985,             0.64903,            0.022956,            0.032906,            0.010123,            0.009274,            0.009274,            0.009274
                  57,            0.031275,            0.037986,           0.0041038,             0.90593,             0.85294,             0.94771,             0.63173,            0.023874,            0.034646,            0.010982,           0.0092481,           0.0092481,           0.0092481
                  58,            0.030539,            0.037806,           0.0037333,             0.91222,              0.8722,             0.94205,             0.64336,            0.024855,             0.03518,           0.0098235,           0.0092219,           0.0092219,           0.0092219
                  59,            0.030352,            0.036923,           0.0034857,             0.84536,             0.94866,             0.94815,             0.64547,            0.026723,            0.035385,           0.0096522,           0.0091952,           0.0091952,           0.0091952
                  60,            0.029796,            0.037991,           0.0037236,             0.89018,             0.87429,             0.94671,             0.63861,            0.023241,            0.033475,            0.011186,           0.0091681,           0.0091681,           0.0091681
                  61,            0.030566,            0.036852,           0.0034127,             0.90303,             0.87951,             0.94256,             0.58478,            0.028217,            0.035548,            0.011066,           0.0091406,           0.0091406,           0.0091406
                  62,            0.031621,            0.037559,           0.0043732,             0.89625,             0.87342,             0.93978,             0.64877,            0.023749,            0.033679,            0.012642,           0.0091127,           0.0091127,           0.0091127
                  63,            0.029926,            0.037773,           0.0039187,             0.89198,             0.89111,             0.94331,             0.64232,            0.025751,            0.033654,           0.0093302,           0.0090844,           0.0090844,           0.0090844
                  64,              0.0286,            0.036185,           0.0035881,             0.89879,             0.89318,             0.94274,             0.64391,            0.024891,            0.032653,           0.0096058,           0.0090557,           0.0090557,           0.0090557
                  65,            0.029736,            0.036525,           0.0038792,             0.89293,             0.88448,              0.9379,             0.65061,            0.022055,            0.030769,            0.010525,           0.0090266,           0.0090266,           0.0090266
                  66,            0.029091,            0.036732,           0.0036738,              0.8508,              0.9522,             0.95175,             0.65376,             0.02369,            0.032013,            0.011175,           0.0089972,           0.0089972,           0.0089972
                  67,            0.030226,            0.036805,           0.0035011,             0.91368,              0.8643,             0.95438,             0.66437,            0.024998,            0.036129,            0.012157,           0.0089673,           0.0089673,           0.0089673
                  68,            0.028488,            0.034655,           0.0035976,             0.89339,             0.88454,             0.94086,             0.67183,            0.023426,            0.032233,             0.01115,           0.0089371,           0.0089371,           0.0089371
