               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.034486,            0.038227,           0.0051707,             0.90011,             0.91116,             0.94864,             0.65151,            0.025123,            0.033762,           0.0053062,           0.0097011,           0.0097011,           0.0097011
                  37,            0.031431,            0.037955,           0.0050092,             0.87938,             0.96575,             0.93829,             0.59558,            0.026386,            0.033888,           0.0074576,            0.009684,            0.009684,            0.009684
                  38,            0.030206,            0.035948,              0.0043,             0.86307,             0.95563,             0.94804,             0.65438,            0.025157,            0.032916,           0.0068899,           0.0096664,           0.0096664,           0.0096664
                  39,            0.030583,            0.035933,           0.0046871,             0.90366,             0.95953,             0.94153,             0.65244,            0.023096,            0.032957,           0.0075332,           0.0096484,           0.0096484,           0.0096484
                  40,            0.031684,            0.037846,           0.0050437,             0.88986,             0.95655,             0.94354,             0.63272,            0.025243,            0.034086,           0.0069489,           0.0096299,           0.0096299,           0.0096299
                  41,            0.030068,            0.035871,           0.0043488,             0.88444,             0.96439,             0.94356,             0.62781,            0.025339,            0.033572,           0.0088007,            0.009611,            0.009611,            0.009611
                  42,             0.03042,            0.035754,           0.0050138,             0.91368,             0.96281,             0.95449,             0.63979,             0.02559,            0.032363,           0.0060852,           0.0095916,           0.0095916,           0.0095916
                  43,            0.030685,            0.036469,           0.0043817,             0.87167,             0.97706,             0.93382,             0.63991,            0.024948,            0.031409,           0.0070855,           0.0095717,           0.0095717,           0.0095717
                  44,            0.030168,            0.035111,           0.0040939,             0.88034,             0.95339,             0.93472,             0.66136,               0.024,            0.031322,           0.0084016,           0.0095514,           0.0095514,           0.0095514
                  45,            0.029823,            0.036076,            0.004378,             0.86128,             0.96678,             0.94371,              0.6481,            0.025385,            0.032315,           0.0067899,           0.0095307,           0.0095307,           0.0095307
                  46,            0.029234,            0.034863,            0.003917,             0.92506,             0.95096,             0.95241,              0.6412,            0.024043,            0.033062,           0.0071468,           0.0095095,           0.0095095,           0.0095095
                  47,            0.029202,            0.034244,           0.0041628,             0.89262,             0.97142,             0.95976,             0.63899,            0.024428,            0.032841,           0.0064628,           0.0094879,           0.0094879,           0.0094879
                  48,            0.029324,             0.03535,           0.0044099,             0.91783,             0.96192,             0.95136,              0.6603,            0.023776,            0.030976,           0.0066748,           0.0094659,           0.0094659,           0.0094659
                  49,            0.030519,            0.035557,           0.0043325,             0.91666,             0.96205,             0.96057,             0.68062,            0.023836,            0.030989,           0.0059218,           0.0094434,           0.0094434,           0.0094434
                  50,            0.028962,            0.034601,           0.0043594,             0.91455,             0.94551,             0.94257,             0.62293,             0.02559,            0.033672,           0.0071077,           0.0094205,           0.0094205,           0.0094205
                  51,            0.028196,            0.034729,            0.003916,              0.9006,             0.98491,             0.96057,             0.69668,            0.021619,            0.028914,           0.0061007,           0.0093971,           0.0093971,           0.0093971
                  52,            0.027557,            0.033959,           0.0036688,              0.8941,             0.96866,             0.94996,             0.66641,            0.022157,             0.03041,           0.0071636,           0.0093733,           0.0093733,           0.0093733
                  53,            0.028842,            0.035229,           0.0042003,             0.89574,             0.97865,             0.96403,             0.66025,            0.022498,            0.029863,           0.0066116,           0.0093491,           0.0093491,           0.0093491
                  54,            0.028483,            0.035039,           0.0037135,             0.92535,             0.97308,             0.96486,             0.65072,            0.024117,            0.030736,           0.0066875,           0.0093245,           0.0093245,           0.0093245
                  55,            0.028097,            0.034977,           0.0044129,             0.92419,             0.96437,              0.9496,              0.6443,            0.024471,            0.033698,           0.0072217,           0.0092995,           0.0092995,           0.0092995
                  56,            0.026807,             0.03394,           0.0041504,             0.96723,               0.957,             0.96376,             0.66116,             0.02442,            0.032177,           0.0071341,            0.009274,            0.009274,            0.009274
                  57,            0.028318,            0.034303,           0.0042642,             0.89168,             0.96675,             0.95726,             0.66423,            0.022276,            0.031285,           0.0070916,           0.0092481,           0.0092481,           0.0092481
                  58,            0.027533,            0.033957,           0.0039466,             0.92749,             0.95923,             0.96092,             0.65925,            0.023255,            0.031874,            0.008098,           0.0092219,           0.0092219,           0.0092219
                  59,              0.0264,            0.033512,           0.0038019,             0.91716,              0.9689,             0.96106,             0.66373,            0.023633,            0.034858,           0.0064783,           0.0091952,           0.0091952,           0.0091952
                  60,            0.027082,            0.034372,           0.0037631,             0.91346,             0.94861,             0.94692,             0.63938,            0.023713,             0.03318,           0.0082814,           0.0091681,           0.0091681,           0.0091681
                  61,            0.026427,            0.032803,           0.0037987,             0.91792,             0.97195,             0.95609,             0.64818,            0.023096,            0.032314,           0.0062831,           0.0091406,           0.0091406,           0.0091406
                  62,            0.027863,            0.033918,           0.0044978,             0.92875,              0.9608,             0.95368,             0.65604,            0.022907,            0.031687,           0.0073782,           0.0091127,           0.0091127,           0.0091127
                  63,            0.027644,            0.034831,            0.004157,             0.91732,             0.96322,             0.95875,             0.65246,            0.022878,            0.032666,            0.006916,           0.0090844,           0.0090844,           0.0090844
                  64,            0.025957,            0.032947,           0.0038206,              0.9179,             0.96098,             0.94688,             0.64671,            0.022426,            0.033736,           0.0064755,           0.0090557,           0.0090557,           0.0090557
                  65,            0.027489,            0.033149,           0.0040609,             0.92466,             0.96179,             0.95996,             0.65834,            0.022091,            0.032762,           0.0063316,           0.0090266,           0.0090266,           0.0090266
                  66,            0.027226,             0.03408,           0.0036806,             0.92354,             0.97792,             0.97117,             0.66083,            0.022884,            0.033395,           0.0051576,           0.0089972,           0.0089972,           0.0089972
                  67,            0.026973,            0.033037,           0.0038966,             0.93417,             0.95264,             0.96415,             0.69142,            0.020991,            0.031528,           0.0067174,           0.0089673,           0.0089673,           0.0089673
                  68,            0.026603,            0.032051,           0.0037615,             0.93469,             0.95966,             0.96627,             0.67335,            0.023843,            0.033659,           0.0067693,           0.0089371,           0.0089371,           0.0089371
                  69,            0.026502,            0.032323,           0.0037093,             0.92691,             0.96654,             0.97365,             0.67965,            0.022927,            0.032364,           0.0060533,           0.0089065,           0.0089065,           0.0089065
                  70,            0.025037,            0.031363,           0.0034348,              0.9249,             0.96495,             0.96312,             0.65844,            0.024535,            0.031502,           0.0073313,           0.0088755,           0.0088755,           0.0088755
                  71,            0.026749,            0.032942,           0.0038995,              0.9226,             0.96157,             0.94771,             0.66342,            0.022202,            0.029818,           0.0067855,           0.0088442,           0.0088442,           0.0088442
                  72,            0.026437,            0.032193,           0.0037126,             0.91557,             0.95253,             0.95155,             0.65597,            0.023068,            0.031213,           0.0080493,           0.0088124,           0.0088124,           0.0088124
                  73,            0.025164,            0.032629,           0.0032479,             0.92981,             0.96034,             0.95773,              0.6976,            0.021563,            0.029528,           0.0071376,           0.0087804,           0.0087804,           0.0087804
                  74,            0.025259,            0.031194,           0.0037576,             0.92762,             0.96067,             0.95382,             0.64682,            0.022857,            0.032536,           0.0070636,           0.0087479,           0.0087479,           0.0087479
                  75,            0.024964,            0.031899,           0.0034749,             0.92646,             0.96158,             0.95377,              0.6545,            0.023507,            0.032942,           0.0071043,           0.0087151,           0.0087151,           0.0087151
                  76,            0.024525,            0.030699,           0.0035761,             0.92503,             0.96324,             0.96156,              0.6437,            0.023202,            0.031475,           0.0074008,            0.008682,            0.008682,            0.008682
                  77,            0.026076,            0.032102,           0.0038299,             0.92619,             0.95933,             0.96144,             0.67679,            0.022352,            0.030935,           0.0073537,           0.0086485,           0.0086485,           0.0086485
                  78,            0.025258,            0.031909,           0.0039091,             0.92115,             0.95392,               0.949,             0.64928,            0.023675,            0.033185,            0.007603,           0.0086146,           0.0086146,           0.0086146
                  79,            0.026055,            0.032094,           0.0034798,             0.93008,             0.96426,             0.96113,             0.65967,            0.021819,            0.030555,           0.0068028,           0.0085805,           0.0085805,           0.0085805
                  80,            0.025247,            0.031163,           0.0034138,             0.93562,             0.96287,             0.96264,             0.69201,            0.022014,            0.029433,           0.0066168,           0.0085459,           0.0085459,           0.0085459
                  81,            0.025536,            0.030594,           0.0039179,             0.93077,             0.96011,             0.96862,             0.68676,            0.021736,            0.029379,           0.0067313,           0.0085111,           0.0085111,           0.0085111
                  82,            0.026093,            0.032564,           0.0041001,             0.92241,             0.96664,             0.95937,             0.67357,            0.023177,            0.031223,            0.007158,           0.0084759,           0.0084759,           0.0084759
                  83,            0.025319,            0.031559,           0.0033734,             0.92451,             0.95531,             0.96644,             0.67774,            0.021027,            0.030789,           0.0077941,           0.0084404,           0.0084404,           0.0084404
                  84,            0.024599,            0.031005,           0.0029425,              0.9202,             0.92592,             0.95019,             0.66565,            0.022886,             0.03134,           0.0094947,           0.0084046,           0.0084046,           0.0084046
                  85,            0.024104,            0.029548,           0.0030831,             0.92097,             0.95771,             0.95182,             0.69097,             0.02051,            0.029338,           0.0094471,           0.0083684,           0.0083684,           0.0083684
                  86,            0.025156,            0.031024,           0.0031415,             0.92575,             0.96193,             0.96426,             0.68001,             0.02153,            0.031067,           0.0077235,           0.0083319,           0.0083319,           0.0083319
                  87,            0.024641,            0.031198,           0.0032283,             0.93059,             0.96378,              0.9636,              0.6926,            0.022086,            0.029811,           0.0068061,           0.0082952,           0.0082952,           0.0082952
                  88,            0.023645,            0.030935,           0.0030814,              0.9264,             0.96024,              0.9575,             0.67225,             0.02213,            0.031586,           0.0082508,           0.0082581,           0.0082581,           0.0082581
                  89,            0.024378,             0.03076,           0.0038338,             0.91184,             0.96261,             0.95406,             0.68844,            0.021005,             0.03011,           0.0080136,           0.0082207,           0.0082207,           0.0082207
                  90,            0.023948,            0.031234,           0.0032234,             0.92383,             0.96809,             0.95085,             0.67256,            0.022776,            0.031259,           0.0075082,            0.008183,            0.008183,            0.008183
                  91,            0.024612,            0.032157,           0.0039589,             0.92562,             0.96861,             0.95831,             0.68819,            0.021971,             0.02994,           0.0077523,            0.008145,            0.008145,            0.008145
                  92,            0.023826,            0.030368,           0.0034204,             0.87059,             0.97258,             0.96378,             0.68058,            0.022142,            0.030902,           0.0070486,           0.0081068,           0.0081068,           0.0081068
                  93,            0.024556,            0.031004,           0.0032825,             0.92214,             0.96475,             0.94964,             0.66744,            0.022448,            0.030554,           0.0082541,           0.0080682,           0.0080682,           0.0080682
                  94,            0.023086,            0.029924,           0.0030899,             0.92889,             0.96173,             0.95709,             0.68346,            0.022658,            0.031694,           0.0073868,           0.0080294,           0.0080294,           0.0080294
                  95,            0.024651,            0.030277,           0.0035014,             0.92146,             0.96163,             0.94453,             0.68645,            0.020847,            0.029941,           0.0078521,           0.0079903,           0.0079903,           0.0079903
                  96,            0.024894,            0.031953,           0.0038166,             0.92172,             0.95503,             0.95582,             0.66281,            0.023235,            0.032024,           0.0082328,           0.0079509,           0.0079509,           0.0079509
                  97,            0.024288,            0.029981,           0.0033996,              0.9285,             0.95249,             0.96109,             0.70624,            0.020377,            0.029363,           0.0079712,           0.0079112,           0.0079112,           0.0079112
                  98,            0.024032,            0.030711,           0.0032683,             0.92416,             0.95915,             0.95194,             0.68283,            0.022376,            0.030779,           0.0076001,           0.0078713,           0.0078713,           0.0078713
                  99,              0.0248,            0.031643,           0.0040477,             0.92743,             0.95718,             0.95487,               0.685,            0.021318,            0.032766,           0.0084281,           0.0078311,           0.0078311,           0.0078311
                 100,            0.023849,            0.031658,           0.0037888,             0.92919,             0.95846,             0.95679,             0.68443,            0.021283,            0.031446,           0.0082678,           0.0077907,           0.0077907,           0.0077907
                 101,            0.024587,              0.0324,           0.0038941,             0.92346,             0.95423,             0.94923,             0.65306,            0.022326,            0.032769,           0.0085818,             0.00775,             0.00775,             0.00775
                 102,            0.023496,            0.030592,           0.0034514,             0.91194,             0.95508,             0.96205,             0.69611,            0.022572,             0.03156,           0.0078832,           0.0077091,           0.0077091,           0.0077091
                 103,            0.023603,            0.030117,           0.0036595,             0.90932,             0.96063,              0.9568,             0.68005,            0.021731,            0.031178,           0.0082981,           0.0076679,           0.0076679,           0.0076679
                 104,            0.023657,            0.031709,           0.0034152,              0.9207,             0.96866,             0.96544,             0.68689,            0.022442,            0.031733,           0.0072849,           0.0076265,           0.0076265,           0.0076265
                 105,            0.024301,            0.029867,           0.0035709,             0.88868,             0.95367,             0.96181,             0.66381,             0.02309,            0.031705,           0.0077005,           0.0075848,           0.0075848,           0.0075848
                 106,            0.024024,            0.030077,           0.0034906,              0.9299,             0.89339,             0.95823,             0.68502,            0.021305,            0.030684,           0.0075325,            0.007543,            0.007543,            0.007543
                 107,            0.024159,            0.031112,           0.0032809,             0.92853,             0.96023,             0.96459,             0.67951,            0.023553,            0.032114,           0.0078253,           0.0075009,           0.0075009,           0.0075009
                 108,            0.024433,            0.030268,           0.0034295,              0.8887,             0.97786,             0.95844,               0.686,            0.021489,            0.029455,           0.0075931,           0.0074585,           0.0074585,           0.0074585
                 109,            0.023421,            0.030615,           0.0035264,             0.91832,             0.95648,             0.97082,             0.66314,            0.022622,            0.030608,           0.0073923,            0.007416,            0.007416,            0.007416
                 110,            0.022681,            0.030656,           0.0033886,             0.92618,             0.96549,             0.96533,             0.67246,            0.022759,            0.031818,           0.0071101,           0.0073733,           0.0073733,           0.0073733
