352.839,,357.0581733
345.718,,
374.454,,
349.749,,
348.614,,
366.187,,
354.519,,
368.522,,
336.793,,
340.269,,
352.264,,
354.25,,
367.609,,
357.425,,
370.077,,
370.006,,
355.441,,
367.574,,
370.867,,
340.856,,
353.783,,
352.786,,
339.339,,
344.524,,
360.472,,
353.177,,
369.936,,
340.972,,
351.655,,
340.68,,
346.664,,
339.178,,
340.374,,
371.333,,
350.652,,
351.3,,
326.245,,
363.944,,
354.69,,
347.947,,
384.957,,
336.038,,
349.365,,
374.29,,
345.74,,
368.966,,
322.586,,
349.001,,
399.88,,
356.451,,
373.567,,
370.437,,
368.239,,
354.919,,
354.978,,
368.763,,
370.756,,
367.898,,
383.592,,
359.22,,
366.482,,
354.67,,
321.046,,
339.644,,
363.716,,
337.42,,
347.588,,
354.601,,
373.358,,
367.168,,
337.994,,
356.665,,
385.797,,
343.804,,
392.981,,
327.124,,
371.22,,
331.196,,
363.6,,
353.23,,
384.353,,
348.226,,
355.545,,
351.766,,
370.573,,
370.475,,
338.875,,
340.693,,
368.192,,
374.301,,
366.404,,
352.866,,
370.489,,
368.792,,
331.131,,
348.44,,
406.013,,
367.249,,
350.375,,
374.282,,
372.05,,
368.647,,
355.127,,
346.305,,
356.298,,
322.184,,
357.893,,
358.113,,
382.745,,
366.975,,
354.902,,
369.345,,
336.324,,
344.011,,
354.986,,
369.358,,
326.994,,
366.188,,
344.787,,
368.609,,
372.78,,
370.954,,
353.066,,
372.333,,
359.776,,
345.315,,
354.889,,
359.778,,
370.947,,
352.239,,
350.532,,
351.817,,
335.948,,
337.072,,
362.665,,
366.541,,
352.248,,
347.053,,
364.728,,
338.92,,
370.267,,
369.627,,
367.536,,
352.328,,
355.433,,
347.526,,
362.296,,
341.963,,
383.751,,
334.886,,
