(X, Y): (390,40); ID:79
(X, Y): (400,40); ID:79
(X, Y): (410,40); ID:80
(X, Y): (420,40); ID:80
(X, Y): (430,40); ID:81
(X, Y): (440,40); ID:81
(X, Y): (450,40); ID:82
(X, Y): (460,40); ID:82
(X, Y): (470,40); ID:83
(X, Y): (480,40); ID:83
(X, Y): (490,40); ID:84
(X, Y): (500,40); ID:84
(X, Y): (510,40); ID:85
(X, Y): (520,40); ID:85
(X, Y): (530,40); ID:86
(X, Y): (540,40); ID:86
(X, Y): (550,40); ID:87
(X, Y): (560,40); ID:87
(X, Y): (570,40); ID:88
(X, Y): (580,40); ID:88
(X, Y): (590,40); ID:89
(X, Y): (600,40); ID:89
(X, Y): (610,40); ID:90
(X, Y): (620,40); ID:90
(X, Y): (630,40); ID:91
(X, Y): (640,40); ID:91
(X, Y): (650,40); ID:92
(X, Y): (660,40); ID:92
(X, Y): (670,40); ID:93
(X, Y): (680,40); ID:93
(X, Y): (690,40); ID:94
(X, Y): (700,40); ID:94
(X, Y): (710,40); ID:95
(X, Y): (720,40); ID:95
(X, Y): (730,40); ID:96
(X, Y): (740,40); ID:96
(X, Y): (60,40); ID:643
(X, Y): (70,40); ID:644
(X, Y): (80,40); ID:644
(X, Y): (90,40); ID:645
(X, Y): (100,40); ID:645
(X, Y): (790,40); ID:685
(X, Y): (770,40); ID:686
(X, Y): (780,40); ID:686
(X, Y): (750,40); ID:687
(X, Y): (760,40); ID:687
(X, Y): (0,50); ID:641
(X, Y): (10,50); ID:641
(X, Y): (20,50); ID:641
(X, Y): (30,50); ID:641
(X, Y): (40,50); ID:641
(X, Y): (50,50); ID:643
(X, Y): (800,50); ID:685
(X, Y): (810,50); ID:683
(X, Y): (820,50); ID:683
(X, Y): (830,50); ID:683
(X, Y): (840,50); ID:683
(X, Y): (850,50); ID:683
(X, Y): (110,50); ID:65
(X, Y): (120,50); ID:65
(X, Y): (130,50); ID:66
(X, Y): (140,50); ID:66
(X, Y): (150,50); ID:67
(X, Y): (160,50); ID:67
(X, Y): (170,50); ID:68
(X, Y): (180,50); ID:68
(X, Y): (190,50); ID:69
(X, Y): (200,50); ID:69
(X, Y): (210,50); ID:70
(X, Y): (220,50); ID:70
(X, Y): (230,50); ID:71
(X, Y): (240,50); ID:71
(X, Y): (250,50); ID:72
(X, Y): (260,50); ID:72
(X, Y): (270,50); ID:73
(X, Y): (280,50); ID:73
(X, Y): (290,50); ID:74
(X, Y): (300,50); ID:74
(X, Y): (310,50); ID:75
(X, Y): (320,50); ID:75
(X, Y): (330,50); ID:76
(X, Y): (340,50); ID:76
(X, Y): (350,50); ID:77
(X, Y): (360,50); ID:77
(X, Y): (370,50); ID:78
(X, Y): (380,50); ID:78
(X, Y): (390,50); ID:79
(X, Y): (400,50); ID:79
(X, Y): (410,50); ID:80
(X, Y): (420,50); ID:80
(X, Y): (430,50); ID:81
(X, Y): (440,50); ID:81
(X, Y): (450,50); ID:82
(X, Y): (460,50); ID:82
(X, Y): (470,50); ID:83
(X, Y): (480,50); ID:83
(X, Y): (490,50); ID:84
(X, Y): (500,50); ID:84
(X, Y): (510,50); ID:85
(X, Y): (520,50); ID:85
(X, Y): (530,50); ID:86
(X, Y): (540,50); ID:86
(X, Y): (550,50); ID:87
(X, Y): (560,50); ID:87
(X, Y): (570,50); ID:88
(X, Y): (580,50); ID:88
(X, Y): (590,50); ID:89
(X, Y): (600,50); ID:89
(X, Y): (610,50); ID:90
(X, Y): (620,50); ID:90
(X, Y): (630,50); ID:91
(X, Y): (640,50); ID:91
(X, Y): (650,50); ID:92
(X, Y): (660,50); ID:92
(X, Y): (670,50); ID:93
(X, Y): (680,50); ID:93
(X, Y): (690,50); ID:94
(X, Y): (700,50); ID:94
(X, Y): (710,50); ID:95
(X, Y): (720,50); ID:95
(X, Y): (730,50); ID:96
(X, Y): (740,50); ID:96
(X, Y): (60,50); ID:643
(X, Y): (70,50); ID:644
(X, Y): (80,50); ID:644
(X, Y): (90,50); ID:645
(X, Y): (100,50); ID:645
(X, Y): (790,50); ID:685
(X, Y): (770,50); ID:686
(X, Y): (780,50); ID:686
(X, Y): (750,50); ID:687
(X, Y): (760,50); ID:687
(X, Y): (0,60); ID:641
(X, Y): (10,60); ID:641
(X, Y): (20,60); ID:641
(X, Y): (30,60); ID:641
(X, Y): (40,60); ID:641
(X, Y): (50,60); ID:641
(X, Y): (800,60); ID:683
(X, Y): (810,60); ID:683
(X, Y): (820,60); ID:683
(X, Y): (830,60); ID:683
(X, Y): (840,60); ID:683
(X, Y): (850,60); ID:683
(X, Y): (110,60); ID:97
(X, Y): (120,60); ID:97
(X, Y): (130,60); ID:98
(X, Y): (140,60); ID:98
(X, Y): (150,60); ID:99
(X, Y): (160,60); ID:99
(X, Y): (170,60); ID:100
(X, Y): (180,60); ID:100
(X, Y): (190,60); ID:101
(X, Y): (200,60); ID:101
(X, Y): (210,60); ID:102
(X, Y): (220,60); ID:102
